scm_name,repo_name,default_branch,hr_info,is_production,jfrog_ci_status,jfrog_cd_status,deployed_artifacts,sonar_ci_status,sonar_is_scanned,critical_dependencies_vuln,high_dependencies_vuln,code_secrets,code_critical_vulnerabilities,enforcement_on_artifact_push,enforcement_on_critical_sast,sbom_created_per_artifact,sbom_kept_indefinitely
bitbucket_server,argos-alerts-opencti-connector,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],TRUE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argos-availability,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argos-integrations,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argos-mcp,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argos-meta,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argos-metrics-exporter,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argos-opencti-connector,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/argos-opencti-connector:7eb3293a250058dbf3e1e2d2cbdce77b9bdea85d""]",TRUE,Unhandled Yet,6,15,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argos-ui,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argos1,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argosapi,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argosv2,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argosv2-cli,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argosv2-datasets,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argosv2-devops,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
